Unnamed: 0,path,label
11665,Neutral/0e4e4e277144036c7500e3a315239e6441b9d69b694b9dcbe6e9e198f.jpg,Neutral
10499,Neutral/cropped_emotions.171792f.png,Neutral
13150,Neutral/1a6845d352b263f26368cc90e2f82771ee14f3b8ff370e913b939452f.jpg,Neutral
205,Surprise/cropped_emotions.100255~12fffff.png,Surprise
3815,Sad/0e9e145698f81a7e2e7a163ab7e416dfeae0eb075e7a66bfaff94e98.png,Sad
7518,Happy/cropped_emotions.568082.png,Happy
2707,Sad/4e5451a60349e52bb2daa5722bd8cc3e53d7f53d04461f3942a1395d.jpg,Sad
12883,Neutral/cropped_emotions.278194f.png,Neutral
12668,Neutral/0b31668448e27b0d5844ba55bda5d148cca2d88aa3df27768e3dcf47f.jpg,Neutral
8833,Happy/cropped_emotions.568910.png,Happy
289,Surprise/cropped_emotions.100228~12fffff.png,Surprise
3995,Sad/7d7d13e2e81c645cee05c5d9e84f6d618d556c6cbf22b445d8e6e01b.jpg,Sad
7192,Happy/0a81073d2d5deb4a95544310012f8633b740ff7fe98b45c9a7027c74.jpg,Happy
12085,Neutral/cropped_emotions.452819f.png,Neutral
8666,Happy/0a53c6d2f7b6ea34fd2deb65ecea550205d7cf7255e1fb658c77672f.JPG,Happy
13636,Neutral/1a7565f64be0ac23b026b48f26536c08396399e3abf4d78ccf87e4b9f.jpg,Neutral
3002,Sad/cropped_emotions.5877.png,Sad
9494,Happy/0ccf6d4d75a7e4416bd480a8ff8ee268570ec286e2185306760a9388.jpg,Happy
14132,Neutral/0cd31c64febe7ff34949167a3ae03ba279d26e1a577c310e4c9f3ea9f.jpg,Neutral
2553,Sad/0b260143868adf73d82e6d87bd1cd57c0f31c303bd6cdf07b5ae0b96.jpeg,Sad
1910,Sad/3c81702e4dc178b3c19f044d4a4b002a5faa6c9aafc85cb008de767a.jpg,Sad
11735,Neutral/0f7bcd84c8e2d45cc6134941d8c21048157205bd6e97c9c08d0bce67f.jpg,Neutral
2122,Sad/cropped_emotions.499221.png,Sad
8898,Happy/cropped_emotions.505770.png,Happy
9807,Happy/0b1a1d0b339c27ee4169de28ec15ec9b8b4cc8a13d34ccb22bb8ed71.jpg,Happy
8327,Happy/cropped_emotions.506106.png,Happy
11169,Neutral/0f7543801f692195fe440514bece4431bf9fccdfe348b6104059d5e2f.jpg,Neutral
2040,Sad/2fccd5ddc389ca5d8fba718fdf9be963211b425642af845b46eeabca.jpg,Sad
1712,Sad/07efff0ab13dbbacefd07877d87b949d19b74e5346e72576abde72f9.jpg,Sad
1451,Sad/6da67cd4ebcbe7e3cebc6d2f2368bb287d7853db761fce2aa1496cc8.jpg,Sad
2167,Sad/0f1400a4403e66ad7a927df634186d37576c43636d7af0044da708e0.jpg,Sad
8598,Happy/0ce13a0112e8f57bedcaf431fd9f3dbaf4f9e466d68bbe4c57c3d6be.jpg,Happy
7242,Happy/cropped_emotions.506027.png,Happy
3146,Sad/cropped_emotions.499206.png,Sad
9156,Happy/0d4a3bd3890325e7fbd751a27e7ec1eb3cb22263cd08268b88ee629b.jpg,Happy
344,Surprise/cropped_emotions.265000~12fffff.png,Surprise
14394,Angry/cropped_emotions.231859~angry.png,Angry
12174,Neutral/0f869a874072b50c653ceaf43a0d45b329ed762090b6a2ec19175a9af.jpg,Neutral
11985,Neutral/0a8c3de423e3d29dfcdf8b85ee20c4ae757375d792aaa16147bdfdc1f.jpg,Neutral
12258,Neutral/0eaabdbc51f82648bd57a8197f49fe8987bf056135e7befedcc8d52bf.jpg,Neutral
4247,Sad/4f36ed409fa5ffafdf403b41232296e07ace823f2a9589d5f7971a53.jpg,Sad
14861,Angry/cropped_emotions.231786~angry.png,Angry
12432,Neutral/cropped_emotions.278244f.png,Neutral
8266,Happy/0cefe88f43536d3217afdcecffdef4e940055653a30a79be59ec46a3.jpeg,Happy
10350,Neutral/0afe7cf62284706191967e2eb06df242c480e3e22832375f6f48e776f.JPG,Neutral
8852,Happy/2f66f7f217abdd074e84db494fca30f44cb0b77631ad9f87832d4c89.jpg,Happy
